fixture	nupic_dssim	tinypng_dssim
p178_1920x1080.png	0.003937	0.002275
p179_1920x1080.png	0.000342	0.000356
p17_480x320.png	0.001875	0.001572
p180_2400x1600.png	0.005838	0.007186
p181_2400x1600.png	0.004992	0.004865
p182_2400x1600.png	0.000000	0.005048
p183_2400x1600.png	0.000000	0.008400
p184_2400x1600.png	0.003804	0.003863
p185_2400x1600.png	0.000000	0.010896
p186_2400x1600.png	0.004110	0.004292
p187_2400x1600.png	0.001426	0.001449
p188_2400x1600.png	0.000908	0.001064
p189_2400x1600.png	0.000971	0.000757
p18_480x320.png	0.001589	0.001434
p190_2400x1600.png	0.000681	0.000878
p191_2400x1600.png	0.001179	0.002186
p192_2400x1600.png	0.001104	0.001257
p193_2400x1600.png	0.001054	0.001110
p194_2400x1600.png	0.000848	0.001191
p195_2400x1600.png	0.001348	0.001965
p196_2400x1600.png	0.001748	0.001742
p197_2400x1600.png	0.003264	0.002797
p198_2400x1600.png	0.003152	0.002368
p199_2400x1600.png	0.001138	0.001210
p19_480x320.png	0.000994	0.000991
p1_480x320.png	0.002996	0.002772
p200_2400x1600.png	0.011405	0.013321
p201_2400x1600.png	0.000251	0.000473
p202_2400x1600.png	0.000000	0.000835
p203_2400x1600.png	0.000000	0.001673
p204_2400x1600.png	0.001305	0.001494
p205_2400x1600.png	0.000260	0.000400
p206_2400x1600.png	0.001006	0.001473
p207_2400x1600.png	0.002167	0.001473
p208_2400x1600.png	0.000754	0.001195
p209_2400x1600.png	0.004155	0.002959
p20_480x320.png	0.007693	0.008490
p210_2400x1600.png	0.000011	0.000637
p211_2400x1600.png	0.000228	0.000423
p212_2400x1600.png	0.004248	0.006293
p213_2400x1600.png	0.007259	0.008361
p214_2400x1600.png	0.000000	0.002845
p215_2400x1600.png	0.000340	0.000592
p216_2400x1600.png	0.000634	0.000885
p217_2400x1600.png	0.000886	0.001138
p218_2400x1600.png	0.000000	0.000546
p219_2400x1600.png	0.000635	0.000987
p21_480x320.png	0.000184	0.000264
p220_2400x1600.png	0.001931	0.002440
p221_2400x1600.png	0.001812	0.001751
p222_2400x1600.png	0.000004	0.000220
p223_2400x1600.png	0.000092	0.000460
p224_2400x1600.png	0.001008	0.000994
p225_2400x1600.png	0.000870	0.001609
p226_2400x1600.png	0.000005	0.000143
p227_2400x1600.png	0.000000	0.000944
p228_2400x1600.png	0.000722	0.000870
p229_2400x1600.png	0.000946	0.001256
p22_480x320.png	0.000546	0.000758
p230_2400x1600.png	0.000013	0.000189
p231_2400x1600.png	0.000000	0.002114
p232_2400x1600.png	0.000000	0.000485
p233_2400x1600.png	0.001228	0.001336
p234_2400x1600.png	0.001372	0.001713
p235_2400x1600.png	0.000000	0.002144
p236_2400x1600.png	0.002985	0.004161
p237_2400x1600.png	0.000028	0.000309
p238_2400x1600.png	0.004378	0.003200
p239_2400x1600.png	0.000000	0.000390
p23_480x320.png	0.001099	0.001122
p240_3840x2560.png	0.000000	0.007742
p241_3840x2560.png	0.000000	0.005888
p242_3840x2560.png	0.000000	0.005684
p243_3840x2560.png	0.000000	0.009195
p244_3840x2560.png	0.004563	0.004580
p245_3840x2560.png	0.000000	0.011483
p246_3840x2560.png	0.000000	0.004794
p247_3840x2560.png	0.001869	0.001866
p248_3840x2560.png	0.001217	0.001399
p249_3840x2560.png	0.000891	0.000856
p24_480x320.png	0.000211	0.000296
p250_3840x2560.png	0.000707	0.000997
p251_3840x2560.png	0.001709	0.003317
p252_3840x2560.png	0.001139	0.001534
p253_3840x2560.png	0.001259	0.001409
p254_3840x2560.png	0.001148	0.001509
p255_3840x2560.png	0.001806	0.002362
p256_3840x2560.png	0.001776	0.001977
p257_3840x2560.png	0.003792	0.002997
p258_3840x2560.png	0.004270	0.002767
p259_3840x2560.png	0.001369	0.001352
p25_480x320.png	0.000213	0.000261
p260_3840x2560.png	0.015338	0.018367
