fixture	input_size	nupic_size	tinypng_size	ratio_n_over_t
s071_text.png	68955	4217	3814	1.1057
s072_text.png	64329	4142	3740	1.1075
s073_text.png	70083	4174	3882	1.0752
s074_text.png	69213	4163	3872	1.0752
s075_text.png	69416	4300	3882	1.1077
s076_text.png	61600	4058	3730	1.0879
s077_text.png	67692	4163	3884	1.0718
s078_text.png	69669	4270	3899	1.0952
s079_text.png	65329	4121	3791	1.0870
s080_chart.png	2931	1061	1092	0.9716
s081_chart.png	3114	1206	1402	0.8602
s082_chart.png	3373	1194	1249	0.9560
s083_chart.png	3449	1264	1883	0.6713
s084_chart.png	3810	1165	1569	0.7425
s085_trans_circle.png	2264	715	710	1.0070
s086_trans_circle.png	2447	779	764	1.0196
s087_trans_circle.png	2648	820	810	1.0123
s088_trans_circle.png	2869	864	857	1.0082
s089_trans_circle.png	3114	931	910	1.0231
s090_trans_circle.png	3390	1012	975	1.0379
s091_trans_circle.png	3608	1067	1027	1.0389
s092_trans_circle.png	3886	1130	1125	1.0044
s093_trans_circle.png	4149	1213	1184	1.0245
s094_trans_circle.png	4424	1272	1244	1.0225
s095_sprites.png	6650	2963	3091	0.9586
s096_sprites.png	6544	2930	3037	0.9648
s097_sprites.png	6888	2910	3018	0.9642
s098_sprites.png	7019	2949	3079	0.9578
s099_sprites.png	7108	2961	3089	0.9586
wm00_!-tylewice-wiatrak-windmill-abri-20.png	13702553	4286399	4546861	0.9427
wm01_!MQ_DSF9592-EnhancedAnd2more_fused_.png	15481176	4022047	4153502	0.9684
wm02_"1930"_Pur_Sang_Type_35_Replica_in_.png	23278159	9019843	8384876	1.0757
wm03_"A_Justiça"_sculpture_(Leopoldo_de_.png	20604778	6679323	6955915	0.9602
wm04_"A_Justiça"_sculpture_(Leopoldo_de_.png	23248914	7357464	6960982	1.0570
wm05_"Access_to_Justice"_by_John_Atkin_(.png	32236063	10413894	9306636	1.1190
wm06_"Access_to_Justice"_by_John_Atkin_(.png	31754191	11474796	11717157	0.9793
wm07_"Alte_Post",_Dorfstrasse_9_in_Leuzi.png	28885651	8847794	8423737	1.0503
wm08_"Alter_Löwen"_in_Märstetten_TG.jpg.png	15492079	5073545	4753932	1.0672
wm09_"Alter_Stern"_in_Siegershausen.jpg.png	16784363	6069790	5388853	1.1264
wm10_Birds-1310600,_Wainuiomata,_Welling.png	8482323	4163448	3956509	1.0523
wm11_Crested_hawk-eagle_(Nisaetus_cirrha.png	23128331	7568967	7658631	0.9883
wm12_Little_Egret-1000534,_Dingle_Penins.png	22260660	8642125	7902013	1.0937
wm13_Little_Egret-1000590,_Dingle_Penins.png	32145364	12182739	11343659	1.0740
wm14_Little_Egret-1000593,_Dingle_Penins.png	26151705	9921069	8916424	1.1127
wm_0_Cat03.png	2032879	503297	660880	0.7616
