fixture	family	pile	nupic_size	tiny_size	size_ratio	nupic_dssim	tiny_dssim	dssim_delta
p11_480x320.png	p	PileA	56605	68613	0.8250	0.000989	0.001647	-0.000658
p120_1920x1080.png	p	PASS	342482	520637	0.6578	0.004908	0.006654	-0.001746
p121_1920x1080.png	p	PileC	434274	542483	0.8005	0.004583	0.004316	+0.000267
p122_1920x1080.png	p	PileB	309340	491824	0.6290	0.004795	0.003831	+0.000964
p123_1920x1080.png	p	PASS	313493	546648	0.5735	0.006540	0.007202	-0.000662
p124_1920x1080.png	p	PASS	346041	515875	0.6708	0.003086	0.003138	-0.000052
p125_1920x1080.png	p	PileA	831892	477885	1.7408	0.000000	0.009766	-0.009766
p126_1920x1080.png	p	PileB	423286	654601	0.6466	0.004067	0.003996	+0.000071
p127_1920x1080.png	p	PileC	564913	678969	0.8320	0.001435	0.001289	+0.000146
p128_1920x1080.png	p	PileC	659910	756448	0.8724	0.001075	0.000997	+0.000078
p129_1920x1080.png	p	PileC	954763	1054145	0.9057	0.000850	0.000688	+0.000162
p12_480x320.png	p	PileA	76982	84452	0.9115	0.000670	0.000892	-0.000222
p130_1920x1080.png	p	PileA	789787	887106	0.8903	0.000728	0.000899	-0.000171
p131_1920x1080.png	p	PileA	619982	751372	0.8251	0.001418	0.001911	-0.000493
p132_1920x1080.png	p	PileA	1264443	1276340	0.9907	0.000874	0.001235	-0.000361
p133_1920x1080.png	p	PileA	906968	1007424	0.9003	0.000906	0.001036	-0.000130
p134_1920x1080.png	p	PileA	1149703	1302079	0.8830	0.000814	0.000990	-0.000176
p135_1920x1080.png	p	PileA	768107	835245	0.9196	0.001065	0.001255	-0.000190
p136_1920x1080.png	p	PileC	1308837	1427597	0.9168	0.001711	0.001485	+0.000226
p137_1920x1080.png	p	PileC	939884	946813	0.9927	0.002837	0.002387	+0.000450
p138_1920x1080.png	p	PileC	878016	976528	0.8991	0.002805	0.002074	+0.000731
p139_1920x1080.png	p	PASS	565403	752508	0.7514	0.001140	0.001191	-0.000051
p13_480x320.png	p	PileA	62344	72796	0.8564	0.000391	0.000600	-0.000209
p140_1920x1080.png	p	PileA	816988	890636	0.9173	0.009845	0.010287	-0.000442
p141_1920x1080.png	p	PileA	1288592	1537054	0.8384	0.000249	0.000469	-0.000220
p142_1920x1080.png	p	PASS	393647	570681	0.6898	0.000460	0.000802	-0.000342
p143_1920x1080.png	p	PileA	801322	491175	1.6314	0.000000	0.001472	-0.001472
p144_1920x1080.png	p	PileA	875230	1071395	0.8169	0.000900	0.001040	-0.000140
p145_1920x1080.png	p	PileA	1090014	1317884	0.8271	0.000284	0.000406	-0.000122
p146_1920x1080.png	p	PileA	802772	898833	0.8931	0.000977	0.001356	-0.000379
p147_1920x1080.png	p	PileC	1481996	1463999	1.0123	0.001886	0.001383	+0.000503
p148_1920x1080.png	p	PileA	1511494	1558895	0.9696	0.000624	0.000901	-0.000277
p149_1920x1080.png	p	PileB	362897	649671	0.5586	0.003633	0.002464	+0.001169
p14_480x320.png	p	PileA	110940	118639	0.9351	0.000632	0.000756	-0.000124
p150_1920x1080.png	p	PileA	413853	391307	1.0576	0.000210	0.000772	-0.000562
p151_1920x1080.png	p	PileA	1277971	1432808	0.8919	0.000195	0.000292	-0.000097
p152_1920x1080.png	p	PASS	560305	748369	0.7487	0.003764	0.005142	-0.001378
p153_1920x1080.png	p	PileA	983205	1191403	0.8252	0.005851	0.007764	-0.001913
